[2025-08-04 21:55:20] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:05:44] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:05:44] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:05:44] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:05:44] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:06:14] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:06:14] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:06:14] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:06:14] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:06:14] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:06:14] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:06:14] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:06:44] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:06:44] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:06:44] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:06:44] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:06:44] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:06:44] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:06:44] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:07:14] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:07:14] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:07:14] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:07:14] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:07:14] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:07:14] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:07:14] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:07:44] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:07:44] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:07:44] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:07:44] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:07:44] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:07:44] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:07:44] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:08:14] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:08:14] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:08:14] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:08:14] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:08:14] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:08:14] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:08:14] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:08:44] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:08:44] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:08:44] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:08:44] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:08:44] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:08:44] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:08:44] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:09:30] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:09:30] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:09:30] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:09:30] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:09:30] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:09:30] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:09:30] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:09:44] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:09:44] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:09:44] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:09:44] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:09:44] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:09:44] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:09:44] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:10:14] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:10:14] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:10:14] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:10:14] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:10:14] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:10:14] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:10:14] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:11:00] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:11:00] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:11:00] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:11:00] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:11:00] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:11:00] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:11:00] [INFO] [PLANTS] Schedule data loaded | zone_count=8
[2025-08-04 23:11:14] [INFO] [PLANTS] Plant map loaded | instance_count=2
[2025-08-04 23:11:14] [INFO] [PLANTS] Library file loaded | filename=fruitbushes.json plant_count=20
[2025-08-04 23:11:14] [INFO] [PLANTS] Library file loaded | filename=fruittrees.json plant_count=20
[2025-08-04 23:11:14] [INFO] [PLANTS] Library file loaded | filename=vegetables.json plant_count=50
[2025-08-04 23:11:14] [INFO] [PLANTS] Library file loaded | filename=custom.json plant_count=3
[2025-08-04 23:11:14] [INFO] [PLANTS] Plant library loaded | total_plants=93
[2025-08-04 23:11:14] [INFO] [PLANTS] Schedule data loaded | zone_count=8
